proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),LOCATION,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
467,FOOTPATH,WORK IN EXECUTION,28,160.5,MADHAVARAM,MADHAVARAM MILK COLONY ROAD,TURIP FUND ,3,2021-22,NA,Zonal
468,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,98,4,AYANAVARAM ,RELAYING OF BT ROAD AT V.P.COLONY EXTENTION,OWN SOURCES,8,2021-22,NA,Zonal
469,FOOTPATH,WORK IN EXECUTION,37,164.5,TONDAIRPET,MEENAMBAL SALAI,TURIP FUND ,4,2021-22,NA,Zonal
470,OTHER BUILDING,WORK IN EXECUTION,170,11.2,"ALANDUR ROAD
","OPERATION AND MAINTENANCE OF SLAUGHTER  HOUSE EFFLUENT TREATMENT PLANT PROCESS  (ONE YEAR)
",REVENUE FUND,13,2021-22,NA,Zonal
471,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,98,4,KILPAUK ,"RELAYING OF BT ROAD AT SANYASIPURAM 2ND STREET,  KILPAUK .",OWN SOURCES,8,2021-22,NA,Zonal
472,FOOTPATH,WORK IN EXECUTION,43,416,TONDAIRPET,SURYA NARAYAN (CHETTY) STREET,TURIP FUND ,4,2021-22,NA,Zonal
473,BRR-RELAYING,WORK IN EXECUTION,110,141.8,TEYNAMPET,KODAMBAKKAM HIGH ROAD (DR.MGR SALAI),TURIP FUND ,9,2021-22,NA,Zonal
474,FOOTPATH,WORK IN EXECUTION,46,169.5,TONDAIRPET,SATHYA MOORTHY NAGAR MAIN ROAD ,TURIP FUND ,4,2021-22,NA,Zonal
475,BRR-RELAYING,WORK IN EXECUTION,173,97.85,ADAYAR,R.K.MUTT ROAD,TURIP FUND ,13,2021-22,NA,Zonal
476,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,98,4,KILPAUK ,RELAYING OF BT ROAD AT SANYASIPURAM 1ST STREET. ,OWN SOURCES,8,2021-22,NA,Zonal
477,FOOTPATH,WORK IN EXECUTION,58,65.59,ROYAPURAM,E.V.K SAMPATH SALAI,TURIP FUND ,5,2021-22,NA,Zonal
478,OTHER BUILDING,WORK IN EXECUTION,100,5.94,"NSK NAGAR 1ST STREET IN DIVISION-100, UNIT-22, ZONE-08","REPAIR AND IMPROVEMENTS WORK TO THE ICDS CENTER AT NSK NAGAR 1ST STREET IN DIVISION-100, UNIT-22, ZONE-08.",OWN SOURCES,8,2021-22,NA,Zonal
479,FOOTPATH,WORK IN EXECUTION,53,28.71,ROYAPURAM,PARTHASARATHY OVER BRIDGE ROAD (FROM OLD JAIL ROAD UPTO BRIDGE),TURIP FUND ,5,2021-22,NA,Zonal
480,OTHER BUILDING,WORK IN EXECUTION,100,3.38," 3RD AVENUE (322 AND 323 ) IN DIVISION-100, UNIT-22, ZONE-08","REPAIR AND IMPROVEMENTS WORK TO THE ICDS CENTER AT 3RD AVENUE (322 AND 323 ) IN DIVISION-100, UNIT-22, ZONE-08",OWN SOURCES,8,2021-22,NA,Zonal
481,FOOTPATH,WORK IN EXECUTION,58,45.93,ROYAPURAM,RAJAMUTHAIH SALAI,TURIP FUND ,5,2021-22,NA,Zonal
482,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,6,72.93,RAJA SHANMUGAM NAGAR 9TH STREET,BRR.C.NO.B3/4634/2020-1 PACKAGE 1 IMPROVEMENT TO THE 27 NOS OF INTERIOR BT ROADS IN ZONE 1 AT RAJA SHANMUGAM NAGAR 9TH STREET,GOVT. GRANT,1,2021-22,NA,Zonal
483,STORM WATER DRAIN,WORK IN EXECUTION,170,6.2,"VARIOUS STREETS
","PROVIDING RAIN WATER HARVESTING   
",REVENUE FUND,13,2021-22,NA,Zonal
484,FOOTPATH,WORK IN EXECUTION,60,130,ROYAPURAM,RAJAJI SALAI,TURIP FUND ,5,2021-22,NA,Zonal
485,HEALTH BUILDINGS,WORK IN EXECUTION,175,6.73,"  GCC MATERNITY HOSPITAL CAMPUS (ADYAR UPHC) VENKATRATHINAM NAGAR
 
","LAYING RUBBER MOULD INTERLOCKING PAVER BLOCKS IN GCC MATERNITY HOSPITAL CAMPUS (ADYAR UPHC)  
",REVENUE FUND,13,2021-22,NA,Zonal
486,FOOTPATH,WORK IN EXECUTION,54,130.8,ROYAPURAM,OLD JAIL ROAD,TURIP FUND ,5,2021-22,NA,Zonal
487,STORM WATER DRAIN,WORK IN EXECUTION,178,3.38,"RAM NAGAR NORTH EXTN VI MAIN ROAD & VIJAYA NAGAR XIII MAIN ROAD
","SUPPLYING & FIXING SLUICE GATE FOR DISPOSAL OF DRAIN  
",REVENUE FUND,13,2021-22,NA,Zonal
488,BLACK TOP ROAD,WORK IN EXECUTION,126,4.21,2ND TRUST CROSS STREET,2ND TRUST CROSS STREET (TNUDF - 2020-21 (P-II)),OWN SOURCES,9,2021-22,NA,Zonal
489,FOOTPATH,WORK IN EXECUTION,114,122.5,DEYNAMPET,WALLAJAH SALAI,TURIP FUND ,9,2021-22,NA,Zonal
490,BLACK TOP ROAD,WORK IN EXECUTION,126,4.33,2ND TRUST LINK STREET,2ND TRUST LINK STREET (TNUDF -2020-21 (P-II)),OWN SOURCES,9,2021-22,NA,Zonal
491,OTHER BUILDING,WORK IN EXECUTION,175,9.93," GCC SHOPPING COMPLEX  INDIRA NAGAR III AVENUE
","DISMANTLING DAMAGED PRESSED TILES AND RELAYING OF WEATHERING COURSE WITH PRESSED TILES (PART) 
",REVENUE FUND,13,2021-22,NA,Zonal
492,BLACK TOP ROAD,WORK IN EXECUTION,126,3.23,8TH TRUST CROSS STREET,8TH TRUST CROSS STREET (TNUDF -2020-21 (P-II)),OWN SOURCES,9,2021-22,NA,Zonal
493,BLACK TOP ROAD,WORK IN EXECUTION,126,3.72,CHANDRASEKAR STREET,CHANDRASEKAR STREET (TNUDF -2020-21 P-II),OWN SOURCES,9,2021-22,NA,Zonal
494,PARK FORMATION,WORK IN EXECUTION,14,21.62,A SADANANTHAPURAM,"FORMATION OF MIYWAKI  MINI FOREST IN OSR LAND AT A SADHANANTHAPURAM IN DIVISION-14, UNIT-3, ZONE-1
B2/1801/2020 ",OWN SOURCES,1,2021-22,NA,Zonal
495,OTHER BUILDING,WORK IN EXECUTION,170,4.13,"ARULAYAMPET II STREET
","OPERATING AND MAINTANANCE OF LPG GASIFIER FOR ONE YEAR 
",REVENUE FUND,13,2021-22,NA,Zonal
497,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,105,28.67,"ASHOKA STREET  IN DIVISION-105, UNIT-22, ZONE-8
","IMPROVEMENTS TO THE INTERIOR B.T ROAD AT ASHOKA STREET  IN DIVISION-105, UNIT-22, ZONE-8
",CAPITAL WORKS,8,2021-22,NA,Zonal
498,FOOTPATH,WORK IN EXECUTION,175,173.9,ADYAR,DR. MUTHULAKSHMI SALAI,TURIP FUND ,13,2021-22,NA,Zonal
500,HEALTH BUILDINGS,WORK IN EXECUTION,107,7.81,"SCHOOL ROAD, CHETPET",IMPROVEMENT TO UPHC AT SCHOOL ROAD,OWN SOURCES,8,2021-22,NA,Zonal
502,FOOTPATH,WORK IN EXECUTION,37,125.6,TONDAIRPET,MKB NAGAR CENTRAL AVENUE,TURIP FUND ,4,2021-22,NA,Zonal
503,FOOTPATH,WORK IN EXECUTION,53,42.64,ROYAPURAM,NORTH WALL ROAD,TURIP FUND ,5,2021-22,NA,Zonal
505,SCHOOL BUILDINGS,WORK IN EXECUTION,107,2.86,"SCHOOL ROAD, JAGANATHAPURAM, CHETPET",REPAIRS AND IMPROVEMENT WORK TO CMS AT JAGANATHAPURAM,OWN SOURCES,8,2021-22,NA,Zonal
506,BLACK TOP ROAD,WORK IN EXECUTION,122,5.35,TURNBULLS ROAD 2ND CROSS STREET,TURNBULLS ROAD 2ND CROSS STREET (SRP 2020-21 (P-III)),OWN SOURCES,9,2021-22,NA,Zonal
507,BLACK TOP ROAD,WORK IN EXECUTION,122,6.32,TURNBULLS ROAD 3RD CROSS STREET,TURNBULLS ROAD 3RD CROSS STREET (SRP 2020-21 (P-III)),OWN SOURCES,9,2021-22,NA,Zonal
508,FOOTPATH,WORK IN EXECUTION,36,136.2,TONDAIRPET,MKB NAGAR WEST AVENUE ROAD UPTO MIDDLE BRIDGE PORTION,TURIP FUND ,4,2021-22,NA,Zonal
509,BLACK TOP ROAD,WORK IN EXECUTION,122,2.3,TURNBULLS ROAD 4TH CROSS STREET,TURNBULLS ROAD 4TH CROSS STREET (SRP 2020-21 (P-III)),OWN SOURCES,9,2021-22,NA,Zonal
510,FOOTPATH,WORK IN EXECUTION,53,23.63,ROYAPURAM,PADAVATTAMMAN KOIL STREET,TURIP FUND ,5,2021-22,NA,Zonal
511,FOOTPATH,WORK IN EXECUTION,50,229.8,ROYAPURAM,MANNARSAMY KOIL STREET,TURIP FUND ,5,2021-22,NA,Zonal
512,BLACK TOP ROAD,WORK IN EXECUTION,123,14.68,EAST ABIRAMAPURAM 3RD STREET,EAST ABIRAMAPURAM 3RD STREET (SRP 2020-21 (P-III)),OWN SOURCES,9,2021-22,NA,Zonal
514,OTHER BUILDING,WORK IN EXECUTION,107,1.35,"SCHOOL ROAD, CHETPET",REPAIRS AND IMPROVEMENT TO MULTI-PURPOSE HALL AT SCHOOL ROAD,OWN SOURCES,8,2021-22,NA,Zonal
516,FOOTPATH,WORK IN EXECUTION,101,289.1,ANNA NAGAR,NEW AVADI ROAD (FROM EVR SALAI TO RAJU STREET),TURIP FUND ,8,2021-22,NA,Zonal
517,FOOTPATH,WORK IN EXECUTION,129,189.9,KODAMBAKKAM,ARUNACHALAM SALAI,TURIP FUND ,10,2021-22,NA,Zonal
518,PARK FORMATION,WORK IN EXECUTION,143,2.88,"NOLAMBUR PHASE-I 7TH MAIN ROAD
",PARK - ANNUAL MAINTENANCE,REVENUE FUND,11,2021-22,NA,Zonal
519,PARK FORMATION,WORK IN EXECUTION,143,10.82,"NOLAMBUR PHASE-I 3RD MAIN ROAD
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
520,FOOTPATH,WORK IN EXECUTION,175,119,ADYAR,INDRA NAGAR 3RD AVENUE,TURIP FUND ,13,2021-22,NA,Zonal
521,PARK FORMATION,WORK IN EXECUTION,143,5.11,"NOLAMBUR PHASE-I 9TH MAIN ROAD (NEW)
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
522,PARK FORMATION,WORK IN EXECUTION,143,8.8,"NOLAMBUR PHASE-II, 7TH CROSS STREET
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
523,BLACK TOP ROAD,WORK IN EXECUTION,94,13.42,RAJAMANGALAM 8TH STREET 1ST LANE,BT ROAD UNDER TURIP 2020_2021 PRIORITY 1,TURIP FUND ,8,2021-22,NA,Zonal
524,FOOTPATH,WORK IN EXECUTION,175,139.6,ADYAR,INDRA NAGAR 2ND AVENUE,TURIP FUND ,13,2021-22,NA,Zonal
525,PARK FORMATION,WORK IN EXECUTION,143,5.21,"NOLAMBUR PHASE-II ,3RD CROSS STREET
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
526,PARK FORMATION,WORK IN EXECUTION,143,7.7,"NOLAMBUR PHASE-2 ,13TH CROSS STREET
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
527,FOOTPATH,WORK IN EXECUTION,132,202.4,KODAMBAKKAM ,ASHOK NAGAR 7TH AVENUE,TURIP FUND ,10,2021-22,NA,Zonal
528,PARK FORMATION,WORK IN EXECUTION,143,5.3,"NOLAMBUR PHASE-1,9TH MAIN ROAD (OLD)
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
529,PARK FORMATION,WORK IN EXECUTION,143,5.44,"NOLAMBUR CHANNEL ROAD
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
530,PARK FORMATION,WORK IN EXECUTION,143,2.84,"NOLAMBUR PHASE-I 13TH CROSS STREET
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
531,FOOTPATH,WORK IN EXECUTION,172,358,ADYAR,SARDAR PATEL ROAD (NORTH) ANNA SALAI TO GANDHI MANDAPAM ROAD),TURIP FUND ,13,2021-22,NA,Zonal
532,PARK FORMATION,WORK IN EXECUTION,143,4.95,"NOLAMBUR MCK LAYOUT PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
533,PARK FORMATION,WORK IN EXECUTION,143,2.5,"NOLAMBUR PHASE -1, 1ST MAIN ROAD PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
534,PARK FORMATION,WORK IN EXECUTION,143,3.01,"""NOLAMBUR PHASE -1, 6TH MAIN ROAD 
(ROAD SIDE PARK)""
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
535,PARK FORMATION,WORK IN EXECUTION,143,2.71,"NOLAMBUR PHASE -1, 6TH CROSS STREET PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
536,PARK FORMATION,WORK IN EXECUTION,143,4.72,"S&P GARDEN 1ST MAIN ROAD
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
537,FOOTPATH,WORK IN EXECUTION,172,358,ADYAR,SARDAR PATEL ROAD (SOUTH) ANNA SALAI TO CANCER INSTITUTE,TURIP FUND ,13,2021-22,NA,Zonal
538,PARK FORMATION,WORK IN EXECUTION,143,3.07,"VGN MONTE CARLO, GARDEN STREET
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
539,PARK FORMATION,WORK IN EXECUTION,143,9.81,"VGN MONTE CARLO, PARK STREET
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
540,PARK FORMATION,WORK IN EXECUTION,144,2.57,"VGP AMUTHA NAGAR PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
541,PARK FORMATION,WORK IN EXECUTION,146,6.97,"METRO NAGAR PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
542,PARK FORMATION,WORK IN EXECUTION,147,2.62,"PALLAVAN NAGAR PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
543,FOOTPATH,WORK IN EXECUTION,173,358,ADYAR,KALKI KRISHNAMOORTHY SALAI (LB ROAD) (FROM THE JN OF MG ROAD TO WEST AVENUE ROAD),TURIP FUND ,13,2021-22,NA,Zonal
544,PARK FORMATION,WORK IN EXECUTION,147,5.4,"ARIGNARANNA PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
545,PARK FORMATION,WORK IN EXECUTION,147,4.83,"BHARATHI PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
546,PARK FORMATION,WORK IN EXECUTION,147,7.31,"THANTHAI PERIYAR THIEDAL
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
547,PARK FORMATION,WORK IN EXECUTION,148,14.3,"TAISHA PARK
","PARK-ANNUAL MAINTENANCE
",REVENUE FUND,11,2021-22,NA,Zonal
548,CONCRETE ROAD,WORK IN EXECUTION,172,14.08,ARIGNAR ANNA STREET,TURIF 2020-21,TURIP FUND ,13,2021-22,NA,Zonal
549,CONCRETE ROAD,WORK IN EXECUTION,172,13.88,NAIDU 4TH LANE,TURIF 2020-21,TURIP FUND ,13,2021-22,NA,Zonal
550,OTHER BUILDING,WORK IN EXECUTION,106,37.94,"COLLECTORATE COLONY MAIN ROAD IN DIVISION-106, UNIT-22, ZONE-8 (MLA FUND)","PROPOSED TO CONSTRUCTION OF MULTIPURPOSE HALL AT COLLECTORATE COLONY MAIN ROAD IN DIVISION-106, UNIT-22, ZONE-8 (MLA FUND)
",MLACDS,8,2021-22,NA,Zonal
551,OTHER BUILDING,WORK IN EXECUTION,106,28.54,"16TH CEREMONY HALL AT COLLECTORATE COLONY MAIN ROAD IN DIVISION-106, UNIT-22, ZONE-8 (MLA FUND"," NAGAR PROPOSED TO CONSTRUCTION OF 16TH CEREMONY HALL AT COLLECTORATE COLONY MAIN ROAD IN DIVISION-106, UNIT-22, ZONE-8 (MLA FUND)
",MLACDS,8,2021-22,NA,Zonal
552,OTHER BUILDING,WORK IN EXECUTION,106,28.5,"COLLECTORATE COLONY MAIN ROAD IN DIVISION - 106, UNIT-22, ZONE-08 (MLA FUND)
","PROPOSED CONSTRUCTION OF GYM BUILDING WITH NECESSARY EQUIPMENTS AT COLLECTORATE COLONY MAIN ROAD IN DIVISION - 106, UNIT-22, ZONE-08 (MLA FUND)
",MLACDS,8,2021-22,NA,Zonal
553,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,106,11.47,"OFFICERS COLONY 4TH CROSS STREET IN DIVISION-106, UNIT-22, ZONE-08.","IMPROVEMENTS TO THE INTERIOR B.T ROAD AT OFFICERS COLONY 4TH CROSS STREET IN DIVISION-106, UNIT-22, ZONE-08.",CAPITAL WORKS,8,2021-22,NA,Zonal
554,SCHOOL BUILDINGS,TENDER CALLED,127,5.48,"CHENNAI HIGHER SECONDARY  SCHOOL AT  SCHOOL STREET  IN DIV-127, UNIT-29,ZONE-10 ","PROVIDING OUT SOURCING PRIVATE LABOURS FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI HIGHER SECONDARY  SCHOOL AT  SCHOOL STREET  IN DIV-127, UNIT-29,ZONE-10 (FOR ONE YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
555,SCHOOL BUILDINGS,TENDER CALLED,127,2.74,"CHENNAI PRIMARY SCHOOL AT SCHOOL STREET IN DIV-127, UNIT-29,ZONE-10","PROVIDING OUT SOURCING PRIVATE LABOURES FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI PRIMARY SCHOOL AT SCHOOL STREET IN DIV-127, UNIT-29,ZONE-10( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
556,SCHOOL BUILDINGS,TENDER CALLED,127,2.74,"CHENNAI MIDDLE SCHOOL AT ARUMBAKKAM IN DIV-127, UNIT-29,ZONE-10 .    ","PROVIDING PRIVATE LABOURES FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI MIDDLE SCHOOL AT ARUMBAKKAM IN DIV-127, UNIT-29,ZONE-10 .                ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
557,SCHOOL BUILDINGS,TENDER CALLED,128,2.74,"CHENNAI PRIMARY  SCHOOL, SCHOOL STREET,  VIRUGAMBAKKAM IN DIV-128, UNIT-29,      ZONE-10","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI PRIMARY  SCHOOL, SCHOOL STREET,  VIRUGAMBAKKAM IN DIV-128, UNIT-29,      ZONE-10 ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
558,SCHOOL BUILDINGS,TENDER CALLED,128,4.1,"ADIDHIRAVIDA WELFARE HIGH  SCHOOL, KALIAMMAN KOIL STREET,  VIRUGAMBAKKAM IN DIV-128, UNIT-29, ZONE-10","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT ADIDHIRAVIDA WELFARE HIGH  SCHOOL, KALIAMMAN KOIL STREET,  VIRUGAMBAKKAM IN DIV-128, UNIT-29, ZONE-10 ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
559,SCHOOL BUILDINGS,TENDER CALLED,128,5.48,"CHENNAI HIGHER SECONDARY SCHOOL, SCHOOL STREET,  VIRUGAMBAKKAM IN DIV-128, UNIT-29, ZONE-10","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI HIGHER SECONDARY SCHOOL, SCHOOL STREET,  VIRUGAMBAKKAM IN DIV-128, UNIT-29, ZONE-10 ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
560,SCHOOL BUILDINGS,TENDER CALLED,128,8.2,"JAIGOPAL GARODIA GIRLS HIGHER SECONDARY SCHOOL, KAMARAJAR SALAI VIRUGAMBAKKAM IN DIV-128, UNIT-29, ZONE-10","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT JAIGOPAL GARODIA GIRLS HIGHER SECONDARY SCHOOL, KAMARAJAR SALAI VIRUGAMBAKKAM IN DIV-128, UNIT-29, ZONE-10 ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
561,SCHOOL BUILDINGS,TENDER CALLED,128,5.48,"CHENNAI PRIMARY SCHOOL, PILLAYAR  KOIL STREET,  NESAPAKKAM IN DIV-128, UNIT-29,     ZONE-10","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT  CHENNAI PRIMARY SCHOOL, PILLAYAR  KOIL STREET,  NESAPAKKAM IN DIV-128, UNIT-29,     ZONE-10 ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
562,SCHOOL BUILDINGS,TENDER CALLED,130,5.48,"CHENNAI MIDDLE SCHOOL, AMMAN KOIL STREET, VADAPALANI IN DIVISION-130, UNIT-29, ZONE-10","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI MIDDLE SCHOOL, AMMAN KOIL STREET, VADAPALANI IN DIVISION-130, UNIT-29, ZONE-10. ( FOR 1 YEAR )",REVENUE FUND,10,2021-22,NA,Zonal
563,SCHOOL BUILDINGS,TENDER CALLED,136,4.11,"CHENNAI MIDDLE SCHOOL AT  PRAKASAM ROAD IN DIVISION -136, UNIT-30, ZONE-10 ","PROVIDING PRIVATE LABOURERS SWEEPING TOILET CLEANING WORK AT  CHENNAI MIDDLE SCHOOL AT  PRAKASAM ROAD IN DIVISION -136, UNIT-30, ZONE-10   (1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
564,SCHOOL BUILDINGS,TENDER CALLED,140,4.11,"CHENNAI PRIMARY SCHOOL AT VANDIKARAN STREET  IN DIVISION -140, UNIT-30,          ZONE-10","PROVIDING PRIVATE LABOURERS SWEEPING TOILET CLEANING WORK AT  CHENNAI PRIMARY SCHOOL AT VANDIKARAN STREET  IN DIVISION -140, UNIT-30,          ZONE-10.(1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
565,SCHOOL BUILDINGS,TENDER CALLED,140,8.23," CHENNAI HIGHER SECONDARY  SCHOOL AT K.R KOIL STREET  IN DIVISION -140, UNIT-30,  ZONE-10","PROVIDING PRIVATE LABOURERS SWEEPING TOILET CLEANING WORK AT  CHENNAI HIGHER SECONDARY  SCHOOL AT K.R KOIL STREET  IN DIVISION -140, UNIT-30,  ZONE-10.(1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
566,SCHOOL BUILDINGS,TENDER CALLED,140,4.11," CHENNAI MIDDLE  SCHOOL AT PERUMAL KOIL STREET  IN DIVISION -140, UNIT-30, ZONE-10.  ","PROVIDING PRIVATE LABOURERS SWEEPING TOILET CLEANING WORK AT  CHENNAI MIDDLE  SCHOOL AT PERUMAL KOIL STREET  IN DIVISION -140, UNIT-30, ZONE-10.          (1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
568,SCHOOL BUILDINGS,TENDER CALLED,141,8.23,"CHENNAI HIGHER SECONDARY  SCHOOL AT C.I.T NAGAR 4TH MAIN ROAD   IN DIVISION -141,  UNIT-30, ZONE-10.","PROVIDING PRIVATE LABOURERS SWEEPING TOILET CLEANING WORK AT  CHENNAI HIGHER SECONDARY  SCHOOL AT C.I.T NAGAR 4TH MAIN ROAD   IN DIVISION -141,  UNIT-30, ZONE-10.(1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
569,SCHOOL BUILDINGS,TENDER CALLED,141,8.23,"CHENNAI HIGH SCHOOL AT NEW BOAG ROAD (KANNAMAPET)  IN DIVISION -141, UNIT-30,  ZONE-10","PROVIDING PRIVATE LABOURERS SWEEPING TOILET CLEANING WORK AT  CHENNAI HIGH SCHOOL AT NEW BOAG ROAD (KANNAMAPET)  IN DIVISION -141, UNIT-30,  ZONE-10.(1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
570,SCHOOL BUILDINGS,TENDER CALLED,142,2.74,"CHENNAI PRIMARY SCHOOL AT BAZAAR ROAD   IN DIVISION-142, UNIT-30, ZONE -10 ","PROVIDING PRIVATE LABOURERS FOR SWEEPING AND TOILET CLEANING WORK AT CHENNAI PRIMARY SCHOOL AT BAZAAR ROAD   IN DIVISION-142, UNIT-30, ZONE -10 (1 YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
571,SCHOOL BUILDINGS,TENDER CALLED,132,2.74," (C.H.S AT KANNIYAPPA NAGAR) IN DN-,132,U-31, Z-10","ENGAGING PRIVATE LABOURS FOR SCHOOL OUT SOURCING WORK FOR CORPORATION SCHOOLS AND TOILETS  (C.H.S AT KANNIYAPPA NAGAR) IN DN-,132,U-31, Z-10 (FOR ONE YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
572,SCHOOL BUILDINGS,TENDER CALLED,132,1.37," (C.P.S AT KANNIYAPPA NAGAR) IN DN-,132,U-31, Z-10","ENGAGING PRIVATE LABOURS FOR SCHOOL OUT SOURCING WORK FOR CORPORATION SCHOOLS AND TOILETS  (C.P.S AT KANNIYAPPA NAGAR) IN DN-,132,U-31, Z-10 (FOR ONE YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
573,SCHOOL BUILDINGS,TENDER CALLED,132,5.48,"(GOVT. GIRLS. HR.SEC. SCHOOL AT 9TH AVENUE, ASHOK NAGAR) IN DN-,132,U-31, Z-10 ","ENGAGING PRIVATE LABOURS FOR SCHOOL OUT SOURCING WORK FOR CORPORATION SCHOOLS AND TOILETS (GOVT. GIRLS. HR.SEC. SCHOOL AT 9TH AVENUE, ASHOK NAGAR) IN DN-,132,U-31, Z-10 (FOR ONE YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
574,SCHOOL BUILDINGS,TENDER CALLED,132,5.48," (GOVT.HR.SEC.SCHOOL PUDHUR AT 3RD AVENUE, ASHOK NAGAR) IN DN-,132,U-31, Z-10 ","ENGAGING PRIVATE LABOURS FOR SCHOOL OUT SOURCING WORK FOR CORPORATION SCHOOLS AND TOILETS  (GOVT.HR.SEC.SCHOOL PUDHUR AT 3RD AVENUE, ASHOK NAGAR) IN DN-,132,U-31, Z-10 (FOR ONE YEAR)",REVENUE FUND,10,2021-22,NA,Zonal
575,SCHOOL BUILDINGS,TENDER CALLED,133,1.37,"(C.P.S MULLAI NAGAR)   IN DN-,133,U-31, Z-10","ENGAGING PRIVATE LABOURS FOR SCHOOL OUT SOURCING WORK FOR CORPORATION SCHOOLS AND TOILETS (C.P.S MULLAI NAGAR) (FOR ONE YEAR)  IN DN-,133,U-31, Z-10",REVENUE FUND,10,2021-22,NA,Zonal
576,SCHOOL BUILDINGS,TENDER CALLED,133,1.37," (C.P.S PULIYUR)  IN DN-,133,U-31, Z-10","ENGAGING PRIVATE LABOURS FOR SCHOOL OUT SOURCING WORK FOR CORPORATION SCHOOLS AND TOILETS (C.P.S PULIYUR) (FOR ONE YEAR) IN DN-,133,U-31, Z-10",REVENUE FUND,10,2021-22,NA,Zonal
