proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),EXECUTING DEPARTMENT,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
1539,SWD,TOP SLAB ,83,8208,SWD,"CONSTRUCTION OF ISWD AT TVS NAGAR MAIN ROAD, 2ND MAIN ROAD, 1ST CROSS ST,4TH CROSS ST, LAKE VIEW ST, VATCHALA ST, KANDIGAI ST (P7)",ADB,7,2021-22,NA,Head Office
1540,SWD,TOP SLAB ,"8,10,82,08,30,84,085",14182,SWD,"CONSTRUCTION OF ISWD AT BALAJI NAGAR SRINIVASAN ST,BALAJI 3RD ST,ELLAIAMMAN ST,IYYAPPAN ST,SUBBULAKSHMI 3RD ST,RAJIV NAGAR ST,OLD POST OFFICE ROAD,AMBUCHAMMAL ST, THIRUMAL SQUARE (P8)",ADB,7,2021-22,NA,Head Office
1541,FOOTPATH,CONCRETE PAVEMENT ,122,397,SPECIAL PROJECT,"FORMATION OF FOOTPATH AT PASUMPON MUTHURAMALINGAM ROAD IN DIVISION - 122, ZONE - 09",TURIP FUND ,9,2021-22,NA,Head Office
1542,FOOTPATH,CONCRETE PAVEMENT ,123,111,SPECIAL PROJECT,"FORMING FOOTPATH AT ST.MARYS ROAD(FROM THE JN OF TTK ROAD TO C.P. RAMASAMY ROAD ) IN DN-123, ZONE-IX",TURIP FUND ,9,2021-22,NA,Head Office
1543,FOOTPATH,CONCRETE PAVEMENT ,171,143,SPECIAL PROJECT,"FORMING FOOTPATH AT TALUK OFFICE ROAD IN DN-171, ZONE-XIII(ALTERNATE LOCATION THANIKACHALLAM ROAD DIVISION 117 ZONE 09",TURIP FUND ,13,2021-22,NA,Head Office
1544,SWD,EARTH WORK ,"2,40,25,026",1526,SWD,"CONSTRUCTION OF ISWD AT THIRUMAL NAGAR 1ST ST, NEAR GOPAL UDAYAR 2ND ST,SRINIVASAN  ST,PADMAVATY NAGAR LINK ROAD (P9)",ADB,3,2021-22,NA,Head Office
1545,SWD,SLAB CONCRETE,"1,25,126",260,SPECIAL PROJECT,"DEMOLITION AND RECONSTRUCTION OF STORM WATER DRAIN OF SIZE 1200 X 1200 & 900 X 900 MM ALONG SANTHOME HIGH ROAD (WEST) FROM JN OF MADHA CHURCH ROAD TO JN OF SOUTH CANAL BANK ROAD IN DN - 125 & 126, Z-9",CAPITAL WORKS,9,2021-22,NA,Head Office
1546,SWD,SLAB CONCRETE,"1,25,126",287,SPECIAL PROJECT,"DEMOLITION AND RECONSTRUCTION OF STORM WATER DRAIN OF SIZE 900 X 900MM ALONG SANTHOME HIGH ROAD (EAST) FROM JN OF DOOMING LANE TO JN OF LOOP ROAD IN DN - 125 & 126, ZONE - IX.",CAPITAL WORKS,9,2021-22,NA,Head Office
1547,FOOTPATH WORK ,KERB LAYING ,175,173.9,BRR,FORMING FOOTPATH AT DR. MUTHULAKSHMI SALAI,TURIP FUND ,13,2021-22,NA,Head Office
1548,FOOTPATH WORK ,FOOTAPTH CONCRETE ,37,125.6,BRR,FORMING FOOTPATH AT MKB NAGAR CENTRAL AVENUE,TURIP FUND ,4,2021-22,NA,Head Office
1559,FOOTPATH WORK ,KERB LAYING ,36,136.2,BRR,FORMING FOOTPATH AT MKB NAGAR WEST AVENUE ROAD UP TO MIDDLE OF BRIDGE PORTION,TURIP FUND ,4,2021-22,NA,Head Office
1563,FOOTPATH WORK ,KERB LAYING ,173,124.1,BRR,FORMING FOOTPATH AT MRC NAGAR MAIN ROAD,TURIP FUND ,13,2021-22,NA,Head Office
1566,FOOTPATH WORK ,KERB LAYING ,173,132.6,BRR,FORMING FOOTPATH AT SATHYA DEV AVENUE,TURIP FUND ,13,2021-22,NA,Head Office
1583,BRR-BT ROAD,BC-40 MM ,"9,91,00,101",22.37,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT ANNA NAGAR 6TH AVENUE,SRP,8,2021-22,NA,Head Office
1590,FOOTPATH WORK ,KERB LAYING ,58,45.93,BRR,FORMING FOOTPATH AT RAJA MUTHAIAH  SALAI,TURIP FUND ,5,2021-22,NA,Head Office
1592,FOOTPATH WORK ,KERB LAYING ,60,130.06,BRR,FORMING FOOTPATH AT RAJAJI SALAI,TURIP FUND ,5,2021-22,NA,Head Office
1593,FOOTPATH WORK ,KERB LAYING ,"54,058",130.8,BRR,FORMING FOOTPATH AT OLD JAIL ROAD,TURIP FUND ,5,2021-22,NA,Head Office
1595,FOOTPATH WORK ,KERB LAYING ,"60,114",122.5,BRR,FORMING FOOTPATH AT WALLAJAH SALAI,TURIP FUND ,5,2021-22,NA,Head Office
1596,FOOTPATH WORK ,KERB LAYING ,53,42.64,BRR,FORMING FOOTPATH AT NORTH WALL ROAD,TURIP FUND ,5,2021-22,NA,Head Office
1597,FOOTPATH WORK ,FOOTAPTH CONCRETE ,53,23.63,BRR,FORMING FOOTPATH AT PADAVATTAMMAN KOIL STREET,TURIP FUND ,5,2021-22,NA,Head Office
1601,BRR-BT ROAD,BC-40 MM ,47,57.48,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KATHIVAKKAM HIGH ROAD,TURIP FUND ,4,2021-22,NA,Head Office
1626,BRR-BT ROAD,BC-40 MM ,"1,10,113",141.8,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT KODAMBAKKAM HIGH ROAD (DR. MGR SALAI),TURIP FUND ,9,2021-22,NA,Head Office
1694,BRR-BT ROAD,BC-40 MM ,60,47.73,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT FLAG STAFF ROAD,TURIP FUND ,5,2021-22,NA,Head Office
1702,BRR-BT ROAD,BC-40 MM ,173,97.85,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT  R.K MUTT ROAD                 ,TURIP FUND ,13,2021-22,NA,Head Office
1709,BRR-BT ROAD,BC-40 MM ,171,286.3,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT SARDAR PATEL ROAD (ANNA SALAI TO JN OF GANDHI MANDAPAM ROAD),TURIP FUND ,13,2021-22,NA,Head Office
1721,FOOTPATH WORK ,FOOTAPTH CONCRETE ,173,103.3,BRR,FORMING FOOTPATH AT R.K. MUTT ROAD,TURIP FUND ,13,2021-22,NA,Head Office
1730,FOOTPATH WORK ,GRANITE SLAB ,136,207,BRR,FORMING FOOTPATH AT DR. NAIR ROAD,TURIP FUND ,10,2021-22,NA,Head Office
1742,FOOTPATH WORK ,GRANITE SLAB ,"17,11,72,175",358.04,BRR,FORMING FOOTPATH AT SARDAR PATEL ROAD (NORTH) (ANNA NAGAR TO GANDHI MANDAPAM ROAD),TURIP FUND ,13,2021-22,NA,Head Office
1762,FOOTPATH WORK ,FOOTAPTH CONCRETE ,94,149,BRR,FORMING FOOTPATH AT SIDCO NAGAR 1ST MAIN ROAD (MTH ROAD TO 4TH MAIN ROAD) AND SIDCO NAGAR 4TH MAIN ROAD(1ST MIAN ROAD TO JN OF BANKOF BARODA),TURIP FUND ,8,2021-22,NA,Head Office
1768,FOOTPATH WORK ,FOOTAPTH CONCRETE ,133,58,BRR,FORMING FOOTPATH AT ASHOK NAGAR 49TH STREET AND POSTAL COLONY 3RD STREET,TURIP FUND ,10,2021-22,NA,Head Office
1778,FOOTPATH WORK ,KERB LAYING ,"9,51,00,10,11,02,103",289.1,BRR,FORMING FOOTPATH AT NEW AVADI ROAD(FROM THE EVR SALAI TO RAJU STREET),TURIP FUND ,8,2021-22,NA,Head Office
1795,FOOTPATH WORK ,FOOTAPTH CONCRETE ,129,189.93,BRR,FORMING FOOTPATH AT ARUNACHALAM SALAI,TURIP FUND ,10,2021-22,NA,Head Office
1802,FOOTPATH WORK ,FOOTAPTH CONCRETE ,132,202.4,BRR,FORMING FOOTPATH AT ASHOK NAGAR 7TH AVENUE,TURIP FUND ,10,2021-22,NA,Head Office
1810,BRR-BT ROAD,MILLING ,"1,03,104",41.27,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT PURASAIVAKKAM HIGH ROAD (PART),SRP,8,2021-22,NA,Head Office
1820,SWD,TOP SLAB ,26,6026,SWD,"CONSTRUCTION OF ISWD AT IYYAPPA NAGAR, SECRETARIATE COLONY 4TH, 8TH ST,SANTOSH NAGAR EXTN, DEVI NAGAR, INDIRA NAGAR, RAMALINGA NAGAR 3RD ST, KANNIAPPAN ST (P10)",ADB,3,2021-22,NA,Head Office
1828,FOOTPATH WORK ,FOOTAPTH CONCRETE ,"2,70,28,030",160.5,BRR,FORMING FOOTPATH AT MADHAVARAM MILK COLONY,TURIP FUND ,3,2021-22,NA,Head Office
1850,SWD,TOP SLAB ,25,1349,SWD,"CONSTRUCTION OF ISWD AT IYYAPPA NAGAR MAIN ROAD IN DN.83, SAKTHI NAGAR EXTN., RAGAVENDRA STIN DN.24 (P11)",ADB,3,2021-22,NA,Head Office
1851,SWD,TOP SLAB ,65,3947,SWD,"CONSTRUCTION OF ISWD AT BHARATH RANJIN GANDHI NAGAR , TEACHERS COLONY 3RD ST, 5TH MAIN ROAD IN DN.65, Z6 (P12)",ADB,6,2021-22,NA,Head Office
1852,BRR-BT ROAD,BC-40 MM ,96,158.6,BRR,RELAYING THE ROAD WITH BC AFTER COLD MILLING BY PAVER FINISHER ALONG WITH TRAFFIC IMPROVEMENT WORK AT DR. AMBEDKAR ROAD (FROM THE JN OF MTH ROAD TO EB OFFICE),TURIP FUND ,8,2021-22,NA,Head Office
1853,SWD,EARTH WORK ,65,9652,SWD,"CONSTRUCTION OF ISWD AT BABA NAGAR 3RD MAIN ROADPALANIAPPA NAGAR MAIN ROAD, II STREET,KKR GARDEN 1ST ,2ND,3RD MAIN ROAD, 1ST ST, (P13)",ADB,6,2021-22,NA,Head Office
1854,FOOTPATH WORK ,FOOTAPTH CONCRETE ,94,103.5,BRR,FORMING FOOTPATH AT SIDCO NAGAR 2ND MAIN ROAD (MTH ROAD TO 4TH AVENUE) ,TURIP FUND ,8,2021-22,NA,Head Office
1855,SWD,TOP SLAB ,"2,60,27,03,00,31,033",14193,SWD,"CONSTRUCTION OF ISWD AT VRD NAGAR MAIN ROAD, 1ST , 2ND MAIN ROAD, 1ST CROSS ST IN DN.30 AND THANIKACHALAM ST, MAIN ROAD, 1ST MAIN ROAD, CROSS ST, 2ND ST, MAHATMA GANDHI ST IN DN.33, Z3 (P14)",ADB,3,2021-22,NA,Head Office
1856,FOOTPATH WORK ,FOOTAPTH CONCRETE ,94,34.5,BRR,FORMING FOOTPATH AT SIDCO NAGAR 4TH MAIN ROAD (VILLIVAKKAM TANK TO SIDCO NAGAR 2ND MAIN ROAD),TURIP FUND ,8,2021-22,NA,Head Office
1857,FOOTPATH WORK ,GRANITE SLAB ,94,69,BRR,FORMING FOOTPATH AT SIDCO NAGAR 4TH  MAIN ROAD (SIDCO NAGAR 2ND MAIN ROAD TO 1ST MAIN ROAD),TURIP FUND ,8,2021-22,NA,Head Office
1867,SWD,TOP SLAB ,33,13394,SWD,"CONSTRUCTION OF ISWD AT ANNA ST, ANNAPOORNA ST, SRINIVASA ST, RAJAJI ST, KARPAGAM 2ND ST IN DN.33, Z3 (P15)",ADB,3,2021-22,NA,Head Office
1871,SWD,TOP SLAB ,"22,023",3586,SWD,"CONSTRUCTION OF ISWD AT KSN 1ST ST, 4TH ST, 19TH ST, 21ST CROSS ST,19TH 2ND CROSS ST, 27TH 1ST, 2ND, 3RD , 4TH ST, KSN MAIN ROAD, 19TH MAIN STREET, ALAGIRI ST-G, TMN 6TH ST, KS NAGAR 27TH ST (P16)",ADB,3,2021-22,NA,Head Office
1879,SWD,TOP SLAB ,19,4016,SWD,"CONSTRUCTION OF ISWD AT MMDA 3RD CROSS ST, MMDA 102ND ST, MMDA 3RD MAIN ROAD,CHINNA MATHUR ROAD IN D.19, CHINNA KANNU ST, LAL BAHADUR 1ST ST IN DN.20, Z2 (P17)",ADB,2,2021-22,NA,Head Office
1883,SWD,SIDE WALL ,27,3444,SWD,"CONSTRUCTION OF ISWD AT MANNADI ST,CHINNASAMY ST,ASSISI NAGAR , EDIMA LINK ROAD IN DN.27, Z3 (P18)",ADB,3,2021-22,NA,Head Office
1884,SWD,SIDE WALL ,28,10115,SWD,"CONSTRUCTION OF ISWD AT SELLIAMMAN KOIL ST IN DN.27, FISHRIES 1ST, 2ND ST, MOOLACHATRAM MAIN ROAD, MADHAVARAM MILK COLONY 15TH ST IN DN.28, Z3 (P19)",ADB,3,2021-22,NA,Head Office
1889,SWD,TOP SLAB ,22,5283,SWD,"CONSTRUCTION OF ISWD AT SIVARAJ ST, THIRUNEELAKANDAR 5TH CROSS ST, 2ND ST, 3RD ST IN DN.22, Z3 (P21)",ADB,3,2021-22,NA,Head Office
1892,BIO-MINING,MECHINARY INSTALLATION,186,5797.93,SWM,RECLAMATION OF  PERUNGUDI DUMPING GROUND THROUGH BIO-MINING PROCESS (PACKAGE - 1),SBM FUND,14,2021-22,NA,Head Office
1893,BIO-MINING,MECHINARY INSTALLATION,186,6149.59,SWM,RECLAMATION OF  PERUNGUDI DUMPING GROUND THROUGH BIO-MINING PROCESS (PACKAGE - 2),SBM FUND,14,2021-22,NA,Head Office
1894,BIO-MINING,MECHINARY INSTALLATION,186,5076.87,SWM,RECLAMATION OF  PERUNGUDI DUMPING GROUND THROUGH BIO-MINING PROCESS (PACKAGE - 3),SBM FUND,14,2021-22,NA,Head Office
1895,SWD,TOP SLAB ,25,4433,SWD,"CONSTRUCTION OF ISWD AT MACRO MARVEL 3RD ST, 1ST CROSS ST, 3RD CROSS ST (P22)",ADB,3,2021-22,NA,Head Office
1896,BIO-MINING,MECHINARY INSTALLATION,186,5036.06,SWM,RECLAMATION OF  PERUNGUDI DUMPING GROUND THROUGH BIO-MINING PROCESS (PACKAGE - 4),SBM FUND,14,2021-22,NA,Head Office
1897,BIO-MINING,MECHINARY INSTALLATION,186,5034.01,SWM,RECLAMATION OF  PERUNGUDI DUMPING GROUND THROUGH BIO-MINING PROCESS (PACKAGE - 5),SBM FUND,14,2021-22,NA,Head Office
1898,BIO-MINING,MECHINARY INSTALLATION,186,7673.31,SWM,RECLAMATION OF  PERUNGUDI DUMPING GROUND THROUGH BIO-MINING PROCESS (PACKAGE - 6),SBM FUND,14,2021-22,NA,Head Office
1899,SWD,TOP SLAB ,23,3447,SWD,"CONSTRUCTION OF ISWD AT VS MANI NAGAR , BALAJI NAGAR 27TH STIN DN.30, BALAJI NAGAR 3RD MAIN ROAD, BALAJI NAGAR 42ND ST IN DN.23, Z3 (P23)",ADB,3,2021-22,NA,Head Office
1900,SWD,TOP SLAB ,30,11675,SWD,"CONSTRUCTION OF ISWD AT DURAISAMY ST, SEETHAPATHY ST IN DN.26 AND BAGATHSINGH ST, KATHIRVEL ST, VELLASAMY ST, NATESAN NAGAR,SARANGAPANI ST IN DN.30 (P24)",ADB,3,2021-22,NA,Head Office
1903,SWD,TOP SLAB ,27,9031,SWD,"CONSTRUCTION OF ISWD AT MANJAKUPPAM MAIN ROAD, ASIS NAGAR MAIN ROAD, 5TH CROSS ST, ELLAIAMMAN KOIL ST, ELLATHARASI ST, RING ROAD HOUSING SECTOR ROAD , PONNIAMMAN KOIL STIN DN.27, Z3 (P25)",ADB,3,2021-22,NA,Head Office
1926,SWD,TOP SLAB ,16,3875,SWD,"CONSTRUCTION OF ISWD AT 23RD MAIN ROAD, MANALI NEW TOWN, GANDHI NAGAR 4TH ,TNHB PHASE 1, 16 FEET ROADST IN ZONE 2. (P27)",ADB,2,2021-22,NA,Head Office
1934,SWD,TOP SLAB ,15,4682,SWD,"CONSTRUCTION OF ISWD AT 73RD BLOCK, 150 FEET ROAD, KGL NAGAR IN DN.15, ZONE 2 (P28)",ADB,2,2021-22,NA,Head Office
1951,SWD,TOP SLAB ,15,8352,SWD,"CONSTRUCTION OF ISWD AT EDAYANCHAVADI MAIN ROADMANALI NEW TOWN 42ND BLOCK 23RD STREET, NEW MANALI ST IN DN.15, ZONE 2 (P29)",ADB,2,2021-22,NA,Head Office
1957,SWD,TOP SLAB ,17,7156,SWD,"CONSTRUCTION OF ISWD AT SHANMUGAVEL SALAI, THYAGI VISWANATHAN STREET, DHANALAKSHMI NAGAR ROAD, CHETTYMEDU PERUMAL CROSS STREET, INDUSTRIAL GARDEN, IN DN.17, ZONE 2, (P30)",ADB,2,2021-22,NA,Head Office
1959,SWD,RAFT ,17,7169,SWD,"CONSTRUCTION OF ISWD AT KAMARAJAPURAM 1ST ST, KADAPAKKAM MAIN ROAD, KADAPAKKAM VICHUR LINK ROAD, ANDARKUPPAM REDHILLS ROAD , TOSHIBA CANALIN DN.16 AND THOSHIBA CANAL IN DN.18, Z2 (P31)",ADB,2,2021-22,NA,Head Office
1962,SWD,TOP SLAB ,16,2769,SWD,"CONSTRUCTION OF ISWD AT KOSAPUR PADASALAI ST, KOSAPUR PERUMAL KOIL PHASE 2, KOSAPUR 2ND PART 2ND ST VENUGOPAL SAMY ST, BURMA NAGAR 2ND, 3RD ST , BABA NAGAR MAIN STIN DN.17, Z2 (P32)",ADB,2,2021-22,NA,Head Office
1970,SWD,EARTH WORK ,29,8633,SWD,"CONSTRUCTION OF ISWD AT LAKSHMI NAGAR (APPARAJ NAGAR 6TH CROSS ST) , PERUMAL KOIL STIN DN.29, ZONE 3 (P33)",ADB,3,2021-22,NA,Head Office
1971,SWD,EARTH WORK ,10,2313,SWD,"CONSTRUCTION OF ISWD AT NORTH MADA ST, SANNATHI ST , SOUTH PRAGARAM STIN DN.10, ZONE 1 (P34)",ADB,1,2021-22,NA,Head Office
1973,SWD,TOP SLAB ,"12,013",3122,SWD,"CONSTRUCTION OF ISWD AT SESHACHALA GRAMANI ST, JANDRAVAR ST IN DN.12, 13, ZONE 1. (P35)",ADB,1,2021-22,NA,Head Office
1974,SWD,TOP SLAB ,3,5639,SWD,"CONSTRUCTION OF ISWD AT ANNA NAGAR 3RD CROSS ST, ANNA NAGAR 2ND CROSS ST NEAR ENNORE FLY OVER IN DN.3, ZONE 1 (P36)",ADB,1,2021-22,NA,Head Office
1976,SWD,SIDE WALL ,"4,006",10990,SWD,"CONSTRUCTION OF ISWD AT JOTHI NAGAR 3RD STREETKAMBAR ST, PASUMPON ST, J.J NAGAR 2ND ST, PALLAVI ST IN DN.6 AND THIRUVEETHIAMMAN KOIL ST IN DN.4, ZONE 1. (P38)",ADB,1,2021-22,NA,Head Office
1977,SWD,TOP SLAB ,9,3924,SWD,"CONSTRUCTION OF ISWD AT MANICKAM NAGAR MAIN ROAD IN DN.5, PATTINATHAR KOIL ST IN DN.9, ZONE 1. (P39)",ADB,1,2021-22,NA,Head Office
2021,SWD,EARTH WORK ,"3,005",4162,SWD,"CONSTRUCTION OF ISWD AT RAMAKRISHNA NAGAR MAIN ROAD, SAKTHIPURAM IN DN.3, SAKTHIPURAM MAIN ROAD IN DN.5, ZONE 1 (P40)",ADB,1,2021-22,NA,Head Office
2030,SWD,TOP SLAB ,3,4478,SWD,"CONSTRUCTION OF ISWD AT ANNA NAGAR 3RD CROSS ST, KATHIVAKKAM 4TH ST, ENNORE FLYOVER SERVICE RD IN DN.3, ZONE 1 (P41)",ADB,1,2021-22,NA,Head Office
2085,SWD,TOP SLAB ,11,4283,SWD,"CONSTRUCTION OF ISWD AT PBD ROAD,ESANAMOORTHY KOIL ST, APPARSAMY KOIL ST IN DN.9, EAST ELLAIAMMAN KOIL ST,MARKET LANE IN DN.11, ZONE 1,(P42)",ADB,1,2021-22,NA,Head Office
2130,SWD,TOP SLAB ,83,5575,SWD,"CONSTRUCTION OF ISWD AT DHANAPAL CHETTY ST, RAILWAY STATION ROAD, TNHB 2ND ST, TNHB COLONY 9TH ST IN DN.83, Z7.(P43)",ADB,7,2021-22,NA,Head Office
2229,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,26,252.7,SWD,"RESTORATION AND REJUVENATION WORK IN SWAMI NAGAR KULAM, SRINIVASANANGAR KULAM(SARANGAPANI)ZONE-3(2 PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),3,2021-22,NA,Head Office
2239,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,"28,030",224.6,SWD,"RESTORATION AND REJUVENATION WORK IN PADAVETTAMMAN KOIL KULAM, RING ROAD HOUSING SECTOR POND ZONE-3(2 PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),3,2021-22,NA,Head Office
2258,WATER BODY RESTORATION,COMPOUND WALL COLUMN ,"83,084",337.6,SWD,"RESTORATION AND REJUVENATION WORK IN SILANTHI KUTTAI-ALTERNATEMAHANKUPPAM POND INZONE-7, GKM COLONY 9 TH STREET POND -ALTERNATE KOTTANKUCHI KULAM INZONE-7(2 PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2275,WATER BODY RESTORATION,EARTH WORK ,67,289.4,SWD,"RESTORATION AND REJUVENATION WORK IN GKM COLONY 24 A STREET POND, ZONE-6",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),6,2021-22,NA,Head Office
2286,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,79,417.4,SWD,"RESTORATION AND REJUVENATION WORK IN GANAPATHY NAGAR TANK ,ZONE-7",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2302,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,82,399.1,SWD,"RESTORATION AND REJUVENATION WORK IN MENAMBEDU THANGAL TANK,PATHARAVAKKAM TANK(ARRA KULAM)VANNAN KULAM ZONE-7(3 PONDS)GAL TANK, PATHARAVAKKAM TANK ",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2328,WATER BODY RESTORATION,COMPOUND WALL COLUMN ,83,281.9,SWD,"RESTORATION AND REJUVENATION WORK IN PERUMAL KOIL STREET KULAM, THANTHANAKUPPAM POND, ZONE-7(2 PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2334,WATER BODY RESTORATION,COMPOUND WALL COLUMN ,83,227.3,SWD,RESTORATION AND REJUVENATION WORK IN SIVALINGAPURAM POND ZONE-7,CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2346,WATER BODY RESTORATION,GREENARY ,84,232.7,SWD,"RESTORATION AND REJUVENATION WORK IN PATTRAVAKKAM PERIYA KULAM, ZONE-7",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2352,WATER BODY RESTORATION,GREENARY ,85,227.3,SWD,"RESTORATION AND REJUVENATION WORK IN ZONE OFFICE POND, ZONE-7",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2359,WATER BODY RESTORATION,FOOTPATH ,82,891,SWD,"RESTORATION AND REJUVENATION WORK IN KORATTUR THANGAL LAKE, ZONE-7",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),7,2021-22,NA,Head Office
2367,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,146,1093,SWD,"RESTORATION AND REJUVENATION WORK IN ALAPAKKAM LAKE, ZONE-11",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),11,2021-22,NA,Head Office
2374,WATER BODY RESTORATION,FOOTPATH ,150,277.8,SWD,RESTORATION AND REJUVENATION OF CHETTIYAR AGARAM MAIN ROAD POND.,CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),11,2021-22,NA,Head Office
2392,WATER BODY RESTORATION,RETAINING WALL ,150,339,SWD,"RESTORATION AND REJUVENATION WORK IN SIVABOOTHAM(INSIDE OF SIVAJI CHAMBER)SINGARA NAICKER STREETPOND, SIVA BHOOTHAM PILLAYAR KOIL STREET, LINGA KULAM, VANAGARAM MAIN ROAD, ZONE-11",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),11,2021-22,NA,Head Office
2413,,,"1,52,200",,,"RESTORATION AND REJUVENATION WORK IN POND LOCATED NEAR AAVIN AND (EAST SIDE OF THIRUVALLUVAR SALAI)-ALTERNATE RETTAIKENI THANGAL POND IN ZONE-15, SIVAN KOIL, ARCOT ROAD, ZONE-11(2PONDS)","
","11,15",2021-22,NA,Head Office
2424,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,"1,51,156",259,SWD,"RESTORATION AND REJUVENATION WORK IN POND LOCATED NEAR ANJENEYAR KOIL STREET, PORUR, PANICHATHAMMAN KOIL KULAM, ZONE-11&12(2PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),"11,12",2021-22,NA,Head Office
2436,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,"18,31,86,191",327,SWD,"RESTORATION AND REJUVENATION WORK IN POND LOCATED NEAR ECR POND(KOTTIVAKKAM)PANCHAYAT MAIN ROAD KULAM, VEMBULIAMMAN KOIL POND NASAN KULAM, JAYACHANDRAN NAGAR POND ,PALANDIAMMAN KOIL POND, ZONE-14",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),14,2021-22,NA,Head Office
2440,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,190,1082,SWD,"RESTORATION AND REJUVENATION WORK IN ANAI ERI, ZONE-14",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),14,2021-22,NA,Head Office
2466,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,190,209,SWD,"RESTORATION AND REJUVENATION WORK IN VARADHARAJAPURAM POND, ZONE-14",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),14,2021-22,NA,Head Office
2467,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,"1,92,199",319,SWD,"RESTORATION AND REJUVENATION WORK IN VANNAN KULAM ECR ROAD, KAZURA GARDEN PIDARI AMMAN KOIL KULAM, ZONE-15(3 PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),15,2021-22,NA,Head Office
2468,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,199,346,SWD,"RESTORATION AND REJUVENATION WORK IN THANTHONIAMMAN KOIL KULAM, ZONE-15",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),15,2021-22,NA,Head Office
2469,WATER BODY RESTORATION,CHILDREN PLAY APPARATUS ,"1,98,200",408,SWD,"RESTORATION AND REJUVENATION WORK IN POND LOCATED AT THENNAM POIGAI POND ALTERNATE ALLIKULAM POND PADAVATTAMMAN KOIL STREET, PURAH KULAM, PONDICHERYPETTAI, ZONE-15(3 PONDS)",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),15,2021-22,NA,Head Office
2470,WATER BODY RESTORATION,FOOTPATH ,198,1814,SWD,"RESTORATION AND REJUVENATION WORK IN RAMAN THANGAL LAKE, ZONE-15",CHENNAI MEGA CITY DEVELOPMENT MISSION (CMCDM),15,2021-22,NA,Head Office
