வார்டூ எண்‌: ,Name ,பாலினம்‌,கட்சியின் பெயர்,Party Name ,பெற்ற வாக்குகள்,சதவிதம் (%),முடிவு,வருடம்,,
35,சுரேஷ் சி ,ஆண்,பகுஜன் சமாஜ் கட்சி ,BSP ,170 ,0.76,வைப்புத்தொகை இழப்பு,2011,,
35,ரங்கன் ப ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,195 ,0.87,வைப்புத்தொகை இழப்பு,2011,,
35,கனகராஜ் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,251 ,1.12,வைப்புத்தொகை இழப்பு,2011,,
35,காசி விஸ்வநாதன் சி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,343 ,1.53,வைப்புத்தொகை இழப்பு,2011,,
35,அனிதா வி ,பெண்,பாரதிய ஜனதா கட்சி ,BJP ,393 ,1.75,வைப்புத்தொகை இழப்பு,2011,,
35,ராதாகிருஷ்ணன் இ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,482 ,2.15,வைப்புத்தொகை இழப்பு,2011,,
35,சீனிமுகம்மது ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,600 ,2.67,வைப்புத்தொகை இழப்பு,2011,,
35,நரேஷ்குமார் சி.பி ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,1088 ,4.85,வைப்புத்தொகை இழப்பு,2011,,
35,ஜெயகுமார் வி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,1103 ,4.91,வைப்புத்தொகை இழப்பு,2011,,
35,தாந்தோணி இ ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,1281 ,5.70,வைப்புத்தொகை இழப்பு,2011,,
35,வேல்முருகன் எம் ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1844 ,8.21,வைப்புத்தொகை இழப்பு,2011,,
35,சங்கர் என் ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,5403 ,24.06,தோல்வி,2011,,
35,ஞானசேகரன் எ ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,8690 ,38.70,வெற்றி,2011,,
36,ஒய்லர் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,19 ,0.09,வைப்புத்தொகை இழப்பு,2011,,
36,சண்முகசுந்தரம் ஜி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,20 ,0.09,வைப்புத்தொகை இழப்பு,2011,,
36,உமாசங்கர் ஆர் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,30 ,0.14,வைப்புத்தொகை இழப்பு,2011,,
36,பன்னீர்செல்வம் எம்.சி. ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,58 ,0.27,வைப்புத்தொகை இழப்பு,2011,,
36,ரவிச்சந்திரன் ப்பி ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,68 ,0.32,வைப்புத்தொகை இழப்பு,2011,,
36,கல்யாணி எம் ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,90 ,0.42,வைப்புத்தொகை இழப்பு,2011,,
36,ஜெயகுமார் ஆர் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,93 ,0.44,வைப்புத்தொகை இழப்பு,2011,,
36,அன்னலட்சுமி எஸ் ,பெண்,இந்திய ஜனநாயகக் கட்சி ,IJK ,100 ,0.47,வைப்புத்தொகை இழப்பு,2011,,
36,யுவராஜ் கே ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,136 ,0.64,வைப்புத்தொகை இழப்பு,2011,,
36,அன்புதாஸ் எஸ் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,249 ,1.17,வைப்புத்தொகை இழப்பு,2011,,
36,வெங்கடேசன் மா ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,310 ,1.46,வைப்புத்தொகை இழப்பு,2011,,
36,கண்ணன் பி ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,340 ,1.60,வைப்புத்தொகை இழப்பு,2011,,
36,தியாகு எம் ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,345 ,1.62,வைப்புத்தொகை இழப்பு,2011,,
36,"மகேஷ் ஜி,கே. ",ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,382 ,1.79,வைப்புத்தொகை இழப்பு,2011,,
36,மனோகரன் எம். ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,412 ,1.94,வைப்புத்தொகை இழப்பு,2011,,
36,வேல்முருகன் வி.ஜி ,ஆண்,பகுஜன் சமாஜ் கட்சி ,BSP ,563 ,2.64,வைப்புத்தொகை இழப்பு,2011,,
36,அப்பாஸ் எஸ் ,ஆண்,Others ,Others ,762 ,3.58,வைப்புத்தொகை இழப்பு,2011,,
36,அந்தோணி சேவியர் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,2317 ,10.88,வைப்புத்தொகை இழப்பு,2011,,
36,செல்வன் எஸ் ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,2489 ,11.69,வைப்புத்தொகை இழப்பு,2011,,
36,"மலைச்சாமி ஏ,ஆர்.ஆர் ",ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,5731 ,26.92,தோல்வி,2011,,
36,பாஸ்கர் என்.எம் ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,6776 ,31.83,வெற்றி,2011,,
37,பரமானந்தம் வி.என் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,18 ,0.09,வைப்புத்தொகை இழப்பு,2011,,
37,பாண்டியன் ஆர் ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,27 ,0.14,வைப்புத்தொகை இழப்பு,2011,,
37,நித்தியானந்தம் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,31 ,0.16,வைப்புத்தொகை இழப்பு,2011,,
37,அன்பழகன் எஸ் ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,48 ,0.25,வைப்புத்தொகை இழப்பு,2011,,
37,சரவணன் எம் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,69 ,0.35,வைப்புத்தொகை இழப்பு,2011,,
37,அபிமன்யு என் ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,127 ,0.65,வைப்புத்தொகை இழப்பு,2011,,
37,சரண்யா எம் ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,389 ,1.99,வைப்புத்தொகை இழப்பு,2011,,
37,பிரவீன்ராஜ் இரா. ,ஆண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,755 ,3.86,வைப்புத்தொகை இழப்பு,2011,,
37,சேகர் ப்பி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,1221 ,6.24,வைப்புத்தொகை இழப்பு,2011,,
37,ராஜ்குமார் எம். ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,3491 ,17.85,தோல்வி,2011,,
37,முருகன் அ. ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,5208 ,26.63,தோல்வி,2011,,
37,ரமேஷ் ஜெ.கே. ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,8171 ,41.78,வெற்றி,2011,,
38,PRABAKARAN S ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,14 ,0.08,வைப்புத்தொகை இழப்பு,2011,,
38,TAMIZH SELVAN A ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,14 ,0.08,வைப்புத்தொகை இழப்பு,2011,,
38,BABU S ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,15 ,0.08,வைப்புத்தொகை இழப்பு,2011,,
38,MOHAMMED YOONUS A ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,20 ,0.11,வைப்புத்தொகை இழப்பு,2011,,
38,ARUL MURUGAN R ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,23 ,0.13,வைப்புத்தொகை இழப்பு,2011,,
38,RANI K ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,44 ,0.24,வைப்புத்தொகை இழப்பு,2011,,
38,HASINA SIKKANDHAR S ,பெண்,Others ,Others ,48 ,0.26,வைப்புத்தொகை இழப்பு,2011,,
38,RADHA KRISHNAN K ,ஆண்,பகுஜன் சமாஜ் கட்சி ,BSP ,104 ,0.57,வைப்புத்தொகை இழப்பு,2011,,
38,SIKKANDHAR S ,ஆண்,Others ,Others ,107 ,0.59,வைப்புத்தொகை இழப்பு,2011,,
38,RAVINDRA KUMAR S ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,116 ,0.64,வைப்புத்தொகை இழப்பு,2011,,
38,AHMED KABIR A ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,146 ,0.80,வைப்புத்தொகை இழப்பு,2011,,
38,SYED IBRAHIM S ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,155 ,0.85,வைப்புத்தொகை இழப்பு,2011,,
38,SUNDARRAJAN P ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,270 ,1.48,வைப்புத்தொகை இழப்பு,2011,,
38,ELANGOVAN A ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,346 ,1.90,வைப்புத்தொகை இழப்பு,2011,,
38,MALMARUGAN S ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,395 ,2.17,வைப்புத்தொகை இழப்பு,2011,,
38,SARAVANAN V ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,410 ,2.25,வைப்புத்தொகை இழப்பு,2011,,
38,RAJA R ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,587 ,3.23,வைப்புத்தொகை இழப்பு,2011,,
38,ABBAS A ,ஆண்,Others ,Others ,758 ,4.17,வைப்புத்தொகை இழப்பு,2011,,
38,MOHAMMED JOHN P ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1982 ,10.90,வைப்புத்தொகை இழப்பு,2011,,
38,RAVICHANDRAN K.S ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,4941 ,27.17,தோல்வி,2011,,
38,SANTHANAM C ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,7690 ,42.29,வெற்றி,2011,,
39,MALARKODI M ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,40 ,0.28,வைப்புத்தொகை இழப்பு,2011,,
39,JAYSEELI C ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,46 ,0.32,வைப்புத்தொகை இழப்பு,2011,,
39,SHEELADEVI S ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,116 ,0.80,வைப்புத்தொகை இழப்பு,2011,,
39,MALLIGABEE B ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,285 ,1.97,வைப்புத்தொகை இழப்பு,2011,,
39,MALINI V ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,576 ,3.98,வைப்புத்தொகை இழப்பு,2011,,
39,FARITHABANU L ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,981 ,6.77,வைப்புத்தொகை இழப்பு,2011,,
39,SAIBUNISHA A ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,2157 ,14.89,வைப்புத்தொகை இழப்பு,2011,,
39,IRUSAMMAL S ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,3549 ,24.50,தோல்வி,2011,,
39,SASIKALA N ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,6734 ,46.49,வெற்றி,2011,,
40,DHATCHAYINI B ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,38 ,0.24,வைப்புத்தொகை இழப்பு,2011,,
40,SELVI S ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,53 ,0.33,வைப்புத்தொகை இழப்பு,2011,,
40,JYOTHI S ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,355 ,2.24,வைப்புத்தொகை இழப்பு,2011,,
40,RAMANI D ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,376 ,2.38,வைப்புத்தொகை இழப்பு,2011,,
40,RAMZAN BEGUM S ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,458 ,2.89,வைப்புத்தொகை இழப்பு,2011,,
40,DHANALAKSHMI V ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,608 ,3.84,வைப்புத்தொகை இழப்பு,2011,,
40,MARY S ,பெண்,இந்தியப் பொதுவுடமைக் கட்சி (மார்க்சிஸ்ட்) ,CPI(M) ,1597 ,10.09,வைப்புத்தொகை இழப்பு,2011,,
40,KUMARI N ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,4554 ,28.77,தோல்வி,2011,,
40,LALITHA J ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,7792 ,49.22,வெற்றி,2011,,
41,RAJESWARI P ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,28 ,0.17,வைப்புத்தொகை இழப்பு,2011,,
41,SANGEETHA A ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,63 ,0.39,வைப்புத்தொகை இழப்பு,2011,,
41,MAGESWARI V ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,80 ,0.49,வைப்புத்தொகை இழப்பு,2011,,
41,JAYALAKSHMI P ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,118 ,0.72,வைப்புத்தொகை இழப்பு,2011,,
41,NAGAMMAL MADHAN M ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,184 ,1.13,வைப்புத்தொகை இழப்பு,2011,,
41,AMBIKA H ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,274 ,1.68,வைப்புத்தொகை இழப்பு,2011,,
41,POONGODI K ,பெண்,பாரதிய ஜனதா கட்சி ,BJP ,335 ,2.05,வைப்புத்தொகை இழப்பு,2011,,
41,LOGANAYAGI M ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,440 ,2.70,வைப்புத்தொகை இழப்பு,2011,,
41,ANGAVALLI G ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,532 ,3.26,வைப்புத்தொகை இழப்பு,2011,,
41,AVUDAIAMMAL S ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1800 ,11.03,வைப்புத்தொகை இழப்பு,2011,,
41,VEDALAKSHMI M ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,3863 ,23.67,தோல்வி,2011,,
41,SASIREKHA R ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,8606 ,52.72,வெற்றி,2011,,
42,துளசி வி ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,13 ,0.11,வைப்புத்தொகை இழப்பு,2011,,
42,செல்வமேரி ஜோ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,18 ,0.15,வைப்புத்தொகை இழப்பு,2011,,
42,நீலா மு ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,19 ,0.16,வைப்புத்தொகை இழப்பு,2011,,
42,முத்துலட்சுமி பா ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,25 ,0.20,வைப்புத்தொகை இழப்பு,2011,,
42,ரேணுகா சே ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,39 ,0.32,வைப்புத்தொகை இழப்பு,2011,,
42,கெஜலட்சுமி மோ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,40 ,0.33,வைப்புத்தொகை இழப்பு,2011,,
42,முத்துலட்சுமி த ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,104 ,0.85,வைப்புத்தொகை இழப்பு,2011,,
42,மோகனா ர ,பெண்,பாரதிய ஜனதா கட்சி ,BJP ,260 ,2.12,வைப்புத்தொகை இழப்பு,2011,,
42,சித்ரா கு ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,266 ,2.17,வைப்புத்தொகை இழப்பு,2011,,
42,சாந்தி மோ ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,269 ,2.20,வைப்புத்தொகை இழப்பு,2011,,
42,சந்திரா க ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1179 ,9.63,வைப்புத்தொகை இழப்பு,2011,,
42,பார்வதி நா ,பெண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,3234 ,26.43,தோல்வி,2011,,
42,அஞ்சுலட்சுமி சு ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,6771 ,55.33,வெற்றி,2011,,
43,"கிருஷ்ணசாமி, செ ",ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,8 ,0.06,வைப்புத்தொகை இழப்பு,2011,,
43,பாக்கியராஜ் மு ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,11 ,0.08,வைப்புத்தொகை இழப்பு,2011,,
43,கார்த்திகேயன் பா.த ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,38 ,0.26,வைப்புத்தொகை இழப்பு,2011,,
43,ஜீவானந்தம் பா ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,38 ,0.26,வைப்புத்தொகை இழப்பு,2011,,
43,கார்த்திகேயன் ஆ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,39 ,0.27,வைப்புத்தொகை இழப்பு,2011,,
43,குமார் ரா ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,87 ,0.60,வைப்புத்தொகை இழப்பு,2011,,
43,வெங்கடேஷ் செ ,ஆண்,Others ,Others ,128 ,0.89,வைப்புத்தொகை இழப்பு,2011,,
43,ஆனந்து(என்கிற) ஆனந்தபாபு கி ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,142 ,0.99,வைப்புத்தொகை இழப்பு,2011,,
43,தனசேகர் ஆ ,ஆண்,பாரதிய ஜனதா கட்சி ,BJP ,159 ,1.10,வைப்புத்தொகை இழப்பு,2011,,
43,மகாராஜன் சு.லி ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,732 ,5.08,வைப்புத்தொகை இழப்பு,2011,,
43,சிவகுமார் ர.ம. ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1195 ,8.29,வைப்புத்தொகை இழப்பு,2011,,
43,அன்பரசு வா ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,4566 ,31.68,தோல்வி,2011,,
43,கார்த்திகேயன் பா ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,7269 ,50.44,வெற்றி,2011,,
44,வாசுகி வீ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,19 ,0.12,வைப்புத்தொகை இழப்பு,2011,,
44,பிரியா சா ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,20 ,0.12,வைப்புத்தொகை இழப்பு,2011,,
44,சந்தானலட்சுமி அ ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,34 ,0.21,வைப்புத்தொகை இழப்பு,2011,,
44,துர்காதேவி சி ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,100 ,0.62,வைப்புத்தொகை இழப்பு,2011,,
44,கற்பகம்சேகர் சே ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,122 ,0.76,வைப்புத்தொகை இழப்பு,2011,,
44,புவனேஸ்வரி உற ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,214 ,1.33,வைப்புத்தொகை இழப்பு,2011,,
44,வைஜெயந்தி கி ,பெண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,284 ,1.76,வைப்புத்தொகை இழப்பு,2011,,
44,ஏமாவதி ரா ,பெண்,இந்திய தேசிய காங்கிரஸ் ,INC ,705 ,4.37,வைப்புத்தொகை இழப்பு,2011,,
44,குமுதவள்ளி சு ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,772 ,4.78,வைப்புத்தொகை இழப்பு,2011,,
44,நீலாவதி ம ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,1104 ,6.84,வைப்புத்தொகை இழப்பு,2011,,
44,ராணி செ ,பெண்,இந்தியப் பொதுவுடமைக் கட்சி ,CPI ,1346 ,8.34,வைப்புத்தொகை இழப்பு,2011,,
44,ராஜலட்சுமி ஆ ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,4897 ,30.33,தோல்வி,2011,,
44,ராஜஸ்ரீவெற்றிவேந்தன் வெ ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,6528 ,40.43,வெற்றி,2011,,
45,பாலகிருஷ்ணன் சா ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,25 ,0.15,வைப்புத்தொகை இழப்பு,2011,,
45,மேகநாதன் மு ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,31 ,0.18,வைப்புத்தொகை இழப்பு,2011,,
45,தேவி வி ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,52 ,0.31,வைப்புத்தொகை இழப்பு,2011,,
45,பஞ்சாட்சரம் த ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,80 ,0.48,வைப்புத்தொகை இழப்பு,2011,,
45,ராஜேஷ் ம ,ஆண்,பகுஜன் சமாஜ் கட்சி ,BSP ,180 ,1.07,வைப்புத்தொகை இழப்பு,2011,,
45,உஷாராணி க ,பெண்,விடுதலைச் சிறுத்தைகள் கட்சி ,VCK ,246 ,1.47,வைப்புத்தொகை இழப்பு,2011,,
45,திருவேங்கடம் பெ ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,326 ,1.94,வைப்புத்தொகை இழப்பு,2011,,
45,சுரேஷ்குமார் சு ,ஆண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,1223 ,7.29,வைப்புத்தொகை இழப்பு,2011,,
45,கடல்ராஜன் மா ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,1477 ,8.81,வைப்புத்தொகை இழப்பு,2011,,
45,தெய்வசிகாமணி ப ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,1952 ,11.64,வைப்புத்தொகை இழப்பு,2011,,
45,கமலக்கண்ணன் த ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,5146 ,30.69,தோல்வி,2011,,
45,இருதயராணி ஜெ.கு ,பெண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,6028 ,35.95,வெற்றி,2011,,
46,செல்வநாதன் டி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,18 ,0.13,வைப்புத்தொகை இழப்பு,2011,,
46,கணபதி இரா. ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,28 ,0.21,வைப்புத்தொகை இழப்பு,2011,,
46,இளங்கோவன் இ ,ஆண்,பாட்டாளி மக்கள் கட்சி ,PMK ,36 ,0.27,வைப்புத்தொகை இழப்பு,2011,,
46,சரவணன் டி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,43 ,0.32,வைப்புத்தொகை இழப்பு,2011,,
46,சீனிவாசன் எஸ். ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,140 ,1.04,வைப்புத்தொகை இழப்பு,2011,,
46,தங்கேஸ்வரன் எஸ். ,ஆண்,இந்திய தேசிய காங்கிரஸ் ,INC ,163 ,1.21,வைப்புத்தொகை இழப்பு,2011,,
46,கருணாநிதி என் ,ஆண்,பகுஜன் சமாஜ் கட்சி ,BSP ,208 ,1.54,வைப்புத்தொகை இழப்பு,2011,,
46,வெங்கடேசன் எஸ். ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,258 ,1.91,வைப்புத்தொகை இழப்பு,2011,,
46,அர்ஜுனன் கெ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,342 ,2.53,வைப்புத்தொகை இழப்பு,2011,,
46,பெருமாள் வி ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,726 ,5.37,வைப்புத்தொகை இழப்பு,2011,,
46,அய்யனார் எம் ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி ,CPI ,1218 ,9.01,வைப்புத்தொகை இழப்பு,2011,,
46,சண்முகசுந்தரி எம் ,பெண்,தேசிய முற்போக்கு திராவிட கழகம் ,DMDK ,2616 ,19.36,தோல்வி,2011,,
46,முருகன் வி ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,3223 ,23.85,தோல்வி,2011,,
46,சரவணன் டி ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,4495 ,33.26,வெற்றி,2011,,
47,கௌரிசங்கர் ரா ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,38 ,0.25,வைப்புத்தொகை இழப்பு,2011,,
47,சந்திரசேகர் ஆ ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,55 ,0.36,வைப்புத்தொகை இழப்பு,2011,,
47,தீபன்வர்மா த ,ஆண்,Others ,Others ,70 ,0.45,வைப்புத்தொகை இழப்பு,2011,,
47,ரவிசந்திரன் மு.து. ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,128 ,0.83,வைப்புத்தொகை இழப்பு,2011,,
47,செல்வமணி மு ,ஆண்,Others ,Others ,143 ,0.92,வைப்புத்தொகை இழப்பு,2011,,
47,டில்லிராம் ம ,ஆண்,சுயேச்சை வேட்பாளர் ,Independent ,155 ,1.00,வைப்புத்தொகை இழப்பு,2011,,
47,கிருண்ணன் ந ,ஆண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,317 ,2.05,வைப்புத்தொகை இழப்பு,2011,,
47,சக்திவேல் தே ,ஆண்,இந்தியப் பொதுவுடமைக் கட்சி(ML) ,CPI(ML) ,862 ,5.57,வைப்புத்தொகை இழப்பு,2011,,
47,ஏழுமலை க ,ஆண்,திராவிட முன்னேற்றக் கழகம் ,DMK ,5370 ,34.68,தோல்வி,2011,,
47,மதுரைவீரன் ரா ,ஆண்,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம் ,AIADMK ,8345 ,53.90,வெற்றி,2011,,
48,SARALA R ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,20 ,0.15,வைப்புத்தொகை இழப்பு,2011,,
48,CHITRA V ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,25 ,0.19,வைப்புத்தொகை இழப்பு,2011,,
48,SHAKEERA A ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,39 ,0.29,வைப்புத்தொகை இழப்பு,2011,,
48,AZEESUNNISA M ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,96 ,0.72,வைப்புத்தொகை இழப்பு,2011,,
48,JAYA V ,பெண்,பாட்டாளி மக்கள் கட்சி ,PMK ,129 ,0.96,வைப்புத்தொகை இழப்பு,2011,,
48,RAMANI B ,பெண்,சுயேச்சை வேட்பாளர் ,Independent ,149 ,1.11,வைப்புத்தொகை இழப்பு,2011,,
48,SELVI R ,பெண்,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,MDMK ,287 ,2.15,வைப்புத்தொகை இழப்பு,2011,,
