Lat,Lon,Title,Unique ID.,Name of State/UT,District(s),Place,Disease/Illness,Cases,Deaths,Date of outbreak,Date of reporting,Status,Title1,Case report/news,Reporting delay,Week,Year
8.4247979,77.0457835,BALARAMAPURAM Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0355",Kerala,BALARAMAPURAM,BALARAMAPURAM Kerala,Zika,1,,07-07-2021,,,,"Case No: 33, AGE: 27 Sex: F",,27,2021
10.0698284,76.2245929,Nedungad Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0356",Kerala,Nedungad,Nedungad Kerala,Zika,1,,07-07-2021,,,,"Case No: 34, AGE: 7 Sex: M",,27,2021
9.940315,76.644298,Vazhakkulam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0357",Kerala,Vazhakkulam,Vazhakkulam Kerala,Zika,1,,07-07-2021,,,,"Case No: 35, AGE: 34 Sex: F",,27,2021
8.6026685,76.8970727,Kattaikonam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0358",Kerala,Kattaikonam,Kattaikonam Kerala,Zika,1,,07-07-2021,,,,"Case No: 36, AGE: 41 Sex: F",,27,2021
10.0261601,76.4045284,Kumarapuram Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0359",Kerala,Kumarapuram,Kumarapuram Kerala,Zika,1,,07-07-2021,,,,"Case No: 37, AGE: 31 Sex: F",,27,2021
8.3160084,77.0972335,Uchakkada Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0360",Kerala,Uchakkada,Uchakkada Kerala,Zika,1,,07-07-2021,,,,"Case No: 38, AGE: 49 Sex: F",,27,2021
8.5092537,76.9167684,Anayara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0361",Kerala,Anayara,Anayara Kerala,Zika,1,,15-05-2021,20-05-2021,,,"Case No: 39, AGE: 26 Sex: ",,19,2021
8.5092537,76.9167684,Anayara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0362",Kerala,Anayara,Anayara Kerala,Zika,1,,15-05-2021,20-05-2021,,,"Case No: 40, AGE: 37 Sex: ",5,19,2021
8.4956092,76.9293622,Pettah Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0363",Kerala,Pettah,Pettah Kerala,Zika,1,,07-07-2021,,,,"Case No: 41, AGE: 25 Sex: ",,27,2021
8.5209794,76.9226146,Medical College Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0364",Kerala,Medical College,Medical College Kerala,Zika,1,,07-07-2021,,,,"Case No: 42, AGE: 27 Sex: ",,27,2021
8.4956092,76.9293622,Pettah Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0365",Kerala,Pettah,Pettah Kerala,Zika,1,,15-05-2021,20-05-2021,,,"Case No: 43, AGE: 38 Sex: ",5,19,2021
8.5092537,76.9167684,Anayara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0366",Kerala,Anayara,Anayara Kerala,Zika,1,,07-07-2021,,,,"Case No: 44, AGE: 3 Sex: ",,27,2021
10.0261601,76.4045284,Kumarapuram Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0367",Kerala,Kumarapuram,Kumarapuram Kerala,Zika,1,,07-07-2021,,,,"Case No: 45, AGE: 42 Sex: M",,27,2021
8.9247668,76.7875283,Kottarakkara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0368",Kerala,Kottarakkara,Kottarakkara Kerala,Zika,1,,07-07-2021,,,,"Case No: 46, AGE: 30 Sex: F",,27,2021
10.41667,76.5,Kazhakkotam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0369",Kerala,Kazhakkotam,Kazhakkotam Kerala,Zika,1,,07-07-2021,,,,"Case No: 47, AGE: 27 Sex: F",,27,2021
8.5563727,76.9043933,Pangappara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0370",Kerala,Pangappara,Pangappara Kerala,Zika,1,,07-07-2021,,,,"Case No: 48, AGE: 37 Sex: F",,27,2021
10.205881,76.3381164,Sreekandeshwaram Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0371",Kerala,Sreekandeshwaram,Sreekandeshwaram Kerala,Zika,1,,07-07-2021,,,,"Case No: 49, AGE: 53 Sex: M",,27,2021
8.7232574,77.0283918,Palode Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0372",Kerala,Palode,Palode Kerala,Zika,1,,07-07-2021,,,,"Case No: 50, AGE: 21 Sex: F",,27,2021
8.5209794,76.9226146,Medical College Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0373",Kerala,Medical College,Medical College Kerala,Zika,1,,07-07-2021,,,,"Case No: 51, AGE: 30 Sex: F",,27,2021
8.5092537,76.9167684,Anayara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0374",Kerala,Anayara,Anayara Kerala,Zika,1,,15-05-2021,20-05-2021,,,"Case No: 52, AGE: 38 Sex: F",5,19,2021
8.4956092,76.9293622,Pettah Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0375",Kerala,Pettah,Pettah Kerala,Zika,1,,07-07-2021,,,,"Case No: 53, AGE: 17 Sex: F",,27,2021
8.4817066,76.9663027,Karamana Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0376",Kerala,Karamana,Karamana Kerala,Zika,1,,07-07-2021,,,,"Case No: 54, AGE: 26 Sex: F",,27,2021
10.41667,76.5,Poojapura Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0377",Kerala,Poojapura,Poojapura Kerala,Zika,1,,07-07-2021,,,,"Case No: 55, AGE: 12 Sex: M",,27,2021
8.4783092,76.9600414,Killipalam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0378",Kerala,Killipalam,Killipalam Kerala,Zika,1,,07-07-2021,,,,"Case No: 56, AGE: 37 Sex: F",,27,2021
8.3994883,77.087201,Neyyatinkara Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0379",Kerala,Neyyatinkara,Neyyatinkara Kerala,Zika,1,,07-07-2021,,,,"Case No: 57, AGE: 53 Sex: M",,27,2021
8.4956092,76.9293622,Pettah Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0380",Kerala,Pettah,Pettah Kerala,Zika,1,,07-07-2021,,,,"Case No: 58, AGE: 44 Sex: F",,27,2021
8.4569839,77.0001851,Nemom Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0381",Kerala,Nemom,Nemom Kerala,Zika,1,,07-07-2021,,,,"Case No: 59, AGE: 27 Sex: F",,27,2021
8.511472,76.9622965,Vellayambalam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0382",Kerala,Vellayambalam,Vellayambalam Kerala,Zika,1,,07-07-2021,,,,"Case No: 60, AGE: 32 Sex: F",,27,2021
9.98408,76.2741457,Ernakulam Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0383",Kerala,? Ernakulam,? Ernakulam Kerala,Zika,1,,07-07-2021,,,,"Case No: 61, AGE: 36 Sex: F",,27,2021
8.4817066,76.9663027,Karamana Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0384",Kerala,Karamana,Karamana Kerala,Zika,1,,07-07-2021,,,,"Case No: 62, AGE: 14 Sex: F",,27,2021
8.5754733,76.8429654,Puthenthope Kerala,"KL/THI/2021/20/0187, KL/THI/2021/28/0307, KL/ERN/2021/29/0385",Kerala,Puthenthope,Puthenthope Kerala,Zika,1,,07-07-2021,,,,"Case No: 63, AGE: 28 Sex: F",,27,2021
31.6343083,74.8736788,Amritsar Punjab,,Punjab,Amritsar,Amritsar Punjab,Zika,1,,01-05-2021,,,,ICMR study,,22,2021
28.6138954,77.2090057,New Delhi,,New Delhi,,New Delhi,Zika,1,,01-05-2021,,,,ICMR study,,22,2021
27.833333,78.166667,Aligarh Uttar Pradesh,,Uttar Pradesh,Aligarh,Aligarh Uttar Pradesh,Zika,1,,01-05-2021,,,,ICMR study,,22,2021
26.2756829,73.0296973,"Jodhpur, Rajasthan",,Rajasthan,Jodhpur,"Jodhpur, Rajasthan",Zika,1,,01-05-2021,,,,ICMR study,,22,2021
23.3700501,85.3250387,"Ranchi, Jharkhand",,Jharkand,Ranchi,"Ranchi, Jharkhand",Zika,1,,01-05-2021,,,,ICMR study,,22,2021
17.360589,78.4740613,"Hyderabad, Telangana",,Telangana,Hyderabad,"Hyderabad, Telangana",Zika,1,,01-05-2021,,,,ICMR study,,22,2021
18.314228109833657,74.13080155332904,"Pune, Maharashtra",,Maharashtra,Pune,"Pune, Maharashtra",Zika,1,,30-07-2021,,,,"Age:50, Sex: F    Maharashtra has reported the first case of Zika virus infection in the Pune district. Until now, Zika cases have been reported only in Kerala.

The State Health Department in a press statement stated that the Zika virus-infected patient was detected in Belsar village in Purandar block.

The blood test reports at NIV in Pune on July 30 revealed that a 50-year-old woman had a Zika virus infection. “This is the first patient found in Maharashtra. The infected patient had also Chikungunya. The concerned patient is completely recovered and she and anyone in her family has no symptoms” the press note added.

The Belsar village has a population of 3,500 and patients with fever were found since the beginning of July. “ The samples of five patients were sent to NIV Pune on July 16. Out of these samples, three were found to have Chikungunya. The NIV team visited the Belsar and Parinche village between 27 – 29 July and collected blood samples of 41 suspected patients. Out of these 25 were detected with Chikungunya, 3 with Dengue and one with Zika Virus” the press note added.

The State Health Department team visited Belsar village. The Health Department will conduct a door-to-door survey in the village ",,30,2021
20.125294410161924,72.75083361890174,"Palghar, Maharashtra",,Maharashtra,Palghar,"Palghar, Maharashtra",Zika,1,,14-07-2022,,,,"Age: 7, Sex: F  The Maharashtra health department has detected a case of Zika infection in a seven-year-old young girl from an ashram shala in Jhai village in Palghar district (along the Gujarat border). This is the second case of Zika infection in the state . The first case was detected in a woman from Belsar village of Pune district in August last year.

Zika is a mosquito-borne disease and while surveillance has been stepped up, the disease presentation has been mild, state health officials have said. There are around 224 children in the Ashram Shala and 13 of them had fever. They have been kept under close observation at Sub district hospital Dahanu and samples that have been sent to National Institute of Virology (NIV) have tested positive for Zika (one case) and seven for H1N1 virus (swine flu), Maharashtra health officials said.

Immediate measures like surveillance of fever cases within 5 kms of the Ashram Shala has been undertaken. The children are mainly from Talasari and Dahanu areas of Palghar district . As part of the surveillance samples will be collected of the remaining children and sent to testing to NIV. Entomological surveillance will also be carried out and strict instructions have been issued to exercise precautionary measures for pregnant women as those who contract zika virus infection are likely at risk for miscarriage.",,29,2022
